"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1660","RT @SeniorLeaderAAP: Arun Jaitley photo bombs Modi ji's speech...

..while sleeping! 

#LookClosely https://t.co/lSKqfUnD6G",FALSE,0,NA,2016-07-20 18:05:52,FALSE,NA,"755826069412818944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IrshanAli1",96,TRUE,FALSE,NA,NA
"1661","RT @IndiaSpeaksPR: Ahmad Patel has correctly understood the driving force behind Modi's 2014win &amp; is executing a nefarious counter.No respo…",FALSE,0,NA,2016-07-20 18:05:52,FALSE,NA,"755826069077319680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BhagwanUvach",49,TRUE,FALSE,NA,NA
"1662","RT @Myth_busterz: Instead of #MakeInIndia ,
Modi and his toadies should #WakeInINDIA
#SleepingBeautyRahul
https://t.co/fZ7VJ8BqkH",FALSE,0,NA,2016-07-20 18:05:50,FALSE,NA,"755826064249749504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VenesaHermijil",84,TRUE,FALSE,NA,NA
"1663","RT @unknown_indian: When Priyanka said ""Neech Rajneeti"" it became an attack on Modi's caste, BJP is getting a dose of its own medicine http…",FALSE,0,NA,2016-07-20 18:05:50,FALSE,NA,"755826060860678144",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","pri1us",7,TRUE,FALSE,NA,NA
"1664","RT @YahoodiSaazish: @MaryamNSharif actions speak louder than words. When has NS confronted Modi or India on this?? Shameful silence",FALSE,0,NA,2016-07-20 18:05:49,FALSE,NA,"755826060177047552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Love4ALL_World",3,TRUE,FALSE,NA,NA
"1665","RT @INCIndia: Modi Govt is used to making hollow promises, false statements &amp; exaggerated claims: Abhishek Manu Singhvi, AICC press briefin…",FALSE,0,NA,2016-07-20 18:05:49,FALSE,NA,"755826057303957504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kthakur76",161,TRUE,FALSE,NA,NA
"1666","RT @INCIndia: This is justice in Haryana - Rape accused have no fear of law, rape the victim again &amp; threaten her! https://t.co/T9XRQMYdS5",FALSE,0,NA,2016-07-20 18:05:48,FALSE,NA,"755826053340356609",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anti_Modi",293,TRUE,FALSE,NA,NA
"1667","RT @withRG: Modi caught sleeping in Parliament https://t.co/kwQgcYbGay",FALSE,0,NA,2016-07-20 18:05:47,FALSE,NA,"755826048659402752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","psr1026",17,TRUE,FALSE,NA,NA
"1668","RT @kaushkrahul: How I wish BJP did this when Youth Cong Pres called Smritiji 'Modi ki Rani' or Nirupam called her Nachne wali. https://t.c…",FALSE,0,NA,2016-07-20 18:05:45,FALSE,NA,"755826039369109504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arpitsizzle",8,TRUE,FALSE,NA,NA
"1669","RT @ManuAnand17: Modi ji Dalit affection. SC, ST MUSLIM never vote to BJP till Live. https://t.co/Xm8pFKOdKJ",FALSE,0,NA,2016-07-20 18:05:41,FALSE,NA,"755826023741009920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Satya_Bol",12,TRUE,FALSE,NA,NA
"1670","Tagore - Where the mind is without fear and head is held high.

Modi - Terrorism, rape, corporate loot &amp; corruption, I am here to justify.",FALSE,11,NA,2016-07-20 18:05:41,FALSE,NA,"755826023653052416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Airavta",13,FALSE,FALSE,NA,NA
"1671","RT @ARamachandra4: @LillyMaryPinto @PiyushGoyal <ed><U+00A0><U+00BC><ed><U+00BC><U+00B9><ed><U+00A0><U+00BD><ed><U+00B2><U+00A1>BIHAR GETS100%LIGHT&amp;POWER TO ITS PEOPLE.PRIDE CONGRATS TO PM MODI JI&amp;PIYUSH JIONTHIS PHEN…",FALSE,0,NA,2016-07-20 18:05:40,FALSE,NA,"755826019668373504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LillyMaryPinto",1,TRUE,FALSE,NA,NA
"1672","RT @SeniorLeaderAAP: Arun Jaitley photo bombs Modi ji's speech...

..while sleeping! 

#LookClosely https://t.co/lSKqfUnD6G",FALSE,0,NA,2016-07-20 18:05:37,FALSE,NA,"755826008994025472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LijeshLP",96,TRUE,FALSE,NA,NA
"1673","Rogue Farook Abdullah's father was kept in captive for many yrs under treason now calls Modi a dictator but Indira?? https://t.co/KSbxS1K9O8",FALSE,1,NA,2016-07-20 18:05:37,FALSE,NA,"755826006271811584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sivaramanvallur",2,FALSE,FALSE,NA,NA
"1674","RT @BDUTT: A must watch interview with @pchidambaram_in on Lessons from Kashmir. Says  ""BJP-PDP coalition frightens Kashmiris"" https://t.co…",FALSE,0,NA,2016-07-20 18:05:34,FALSE,NA,"755825994242465792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prince_fero",118,TRUE,FALSE,NA,NA
"1675","RT @manojsinhabjp: Modi Government Initiative: Devotees get Holy GangaJal delivered at their Doorstep by India Post https://t.co/Vy5ANLXH01",FALSE,0,NA,2016-07-20 18:05:34,FALSE,NA,"755825993500295168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bjpdhananjay15",27,TRUE,FALSE,NA,NA
"1676","RT @kaushkrahul: How I wish BJP did this when Youth Cong Pres called Smritiji 'Modi ki Rani' or Nirupam called her Nachne wali. https://t.c…",FALSE,0,NA,2016-07-20 18:05:32,FALSE,NA,"755825985489084417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kumarrvipin",8,TRUE,FALSE,NA,NA
"1677","RT @Babu_Bhaiyaa: AAP system-
-one minister tweets he did smthing
-2nd Congratulates him
-Kejriwal quotes the tweet of 2nd minitser &amp; abuse…",FALSE,0,NA,2016-07-20 18:05:31,FALSE,NA,"755825981688950784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","monulko",490,TRUE,FALSE,NA,NA
"1678","RT @BJPInNews: Modi Govt banned 10,000 NGOs from getting Foreign aid last year
 
#SleepingBeautyRahul @KirenRijiju https://t.co/os3GhT6xEc",FALSE,0,NA,2016-07-20 18:05:26,FALSE,NA,"755825960134537216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maxxhoster",41,TRUE,FALSE,NA,NA
"1679","Nobody messes with Modi, not even Sundar Pichai https://t.co/BABLLemDwm",FALSE,0,NA,2016-07-20 18:05:25,FALSE,NA,"755825957966053376",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","AzhwarVenkat",0,FALSE,FALSE,NA,NA
"1680","RT @SeniorLeaderAAP: Arun Jaitley photo bombs Modi ji's speech...

..while sleeping! 

#LookClosely https://t.co/lSKqfUnD6G",FALSE,0,NA,2016-07-20 18:05:24,FALSE,NA,"755825951418703872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","avinashcisls",96,TRUE,FALSE,NA,NA
"1681","RT @neha_aks: Seasoned Congress leader &amp; ex-union minister Ghulam Nabi Azad uses casteist slur against Modi,calls him ""Gangu Teli"" https://…",FALSE,0,NA,2016-07-20 18:05:20,FALSE,NA,"755825938269634560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vinirish",35,TRUE,FALSE,NA,NA
"1682","RT @BDUTT: A must watch interview with @pchidambaram_in on Lessons from Kashmir. Says  ""BJP-PDP coalition frightens Kashmiris"" https://t.co…",FALSE,0,NA,2016-07-20 18:05:19,FALSE,NA,"755825934347956224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MustakAli_92",118,TRUE,FALSE,NA,NA
"1683","RT @jerrysinghtx: @CNNnews18 @bhupendrachaube And is this the man to lead Congress to its revival...God forbid! Modi arrived just in time t…",FALSE,0,NA,2016-07-20 18:05:14,FALSE,NA,"755825913359691776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bhupendrachaube",2,TRUE,FALSE,NA,NA
"1684","@TimesNow @sambitswaraj  If Rahul gandhi is in wrong professions then what about Mr Modi and Smriti ?LOL @INCIndia https://t.co/pYDQOZffPO",FALSE,0,"TimesNow",2016-07-20 18:05:13,FALSE,"755819051524304896","755825905432350720","240649814","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","Paka_Hindustani",0,FALSE,FALSE,NA,NA
"1685","RT @indiantweeter: Congress on Rahul Sleeping 

- Garmi 
- he wasn't sleeping 
- he was doing Vipasna 
- we have clip of Modi Ji sleeping
-…",FALSE,0,NA,2016-07-20 18:05:12,FALSE,NA,"755825900986347520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DidYouKnowBC",12,TRUE,FALSE,NA,NA
"1686","RT @AnkitLal: My article in @DailyO_ exposing Modi ji's Thailand connection.

Why Thailand tweets regularly on BJP hashtags!

https://t.co/…",FALSE,0,NA,2016-07-20 18:05:11,FALSE,NA,"755825899099021312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bluepencil5",729,TRUE,FALSE,NA,NA
"1687","RT @Babu_Bhaiyaa: AAP system-
-one minister tweets he did smthing
-2nd Congratulates him
-Kejriwal quotes the tweet of 2nd minitser &amp; abuse…",FALSE,0,NA,2016-07-20 18:05:04,FALSE,NA,"755825871504629760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prasabs",490,TRUE,FALSE,NA,NA
"1688","RT @mediacrooks: A filthy man.. whose manuals were eaten by TERMITES.. and Modi was right.. Congis are a Dimak party... LOL! https://t.co/D…",FALSE,0,NA,2016-07-20 18:05:00,FALSE,NA,"755825850642161664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","t_s_mohan",49,TRUE,FALSE,NA,NA
"1689","RT @ANI_news: Modi ji please give up betrayal, you are betraying public everyday; give this up, not LPG: Cong https://t.co/YAqpNzO6Kf",FALSE,0,NA,2016-07-20 18:04:59,FALSE,NA,"755825849870475264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vikrampawar5688",59,TRUE,FALSE,NA,NA
